/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
iter is 1390, overall loss is 1.5628615617752075
iter is 1400, overall loss is 1.3145997524261475
iter is 1410, overall loss is 1.2567331790924072
iter is 1420, overall loss is 1.64373779296875
iter is 1430, overall loss is 1.6985764503479004
iter is 1440, overall loss is 1.317140817642212
iter is 1450, overall loss is 1.739738941192627
iter is 1460, overall loss is 1.183182954788208
iter is 1470, overall loss is 1.5323271751403809
iter is 1480, overall loss is 1.4547909498214722
iter is 1490, overall loss is 1.4053332805633545
iter is 1500, overall loss is 1.745739459991455
---------starting evaluation-----------
Racall rate is 0.7185209983216522, Precision rate is 0.7232913393129827, OA is 0.8687940559387207, F1 score is 0.7208982773072437, IoU is 0.5635972999783111, Kappa coefficient is 0.6351383352395326
iter is 1510, overall loss is 1.3093819618225098
iter is 1520, overall loss is 1.4065594673156738
iter is 1530, overall loss is 1.931280493736267
iter is 1540, overall loss is 1.7092320919036865
iter is 1550, overall loss is 1.369356632232666
iter is 1560, overall loss is 1.7466075420379639
iter is 1570, overall loss is 1.2553776502609253
iter is 1580, overall loss is 1.187064528465271
iter is 1590, overall loss is 1.8796141147613525
iter is 1600, overall loss is 1.4379291534423828
iter is 1610, overall loss is 1.5863018035888672
iter is 1620, overall loss is 1.5264968872070312
iter is 1630, overall loss is 1.2241712808609009
iter is 1640, overall loss is 1.3458666801452637
iter is 1650, overall loss is 1.493217945098877
iter is 1660, overall loss is 1.267168641090393
iter is 1670, overall loss is 1.0325959920883179
iter is 1680, overall loss is 1.6487185955047607
iter is 1690, overall loss is 1.585235595703125
iter is 1700, overall loss is 1.4327597618103027
iter is 1710, overall loss is 1.4021116495132446
iter is 1720, overall loss is 1.2844274044036865
iter is 1730, overall loss is 1.2065894603729248
iter is 1740, overall loss is 1.3820555210113525
iter is 1750, overall loss is 1.0109314918518066
iter is 1760, overall loss is 1.4927901029586792
iter is 1770, overall loss is 2.0325372219085693
iter is 1780, overall loss is 1.4866511821746826
iter is 1790, overall loss is 1.5698471069335938
iter is 1800, overall loss is 1.5037437677383423
iter is 1810, overall loss is 1.3344652652740479
iter is 1820, overall loss is 1.4002388715744019
iter is 1830, overall loss is 1.4149439334869385
iter is 1840, overall loss is 1.533901333808899
iter is 1850, overall loss is 1.3691856861114502
iter is 1860, overall loss is 1.5085728168487549
iter is 1870, overall loss is 1.37380051612854
iter is 1880, overall loss is 1.4713129997253418
iter is 1890, overall loss is 1.507354497909546
iter is 1900, overall loss is 1.306854486465454
iter is 1910, overall loss is 1.4477078914642334
iter is 1920, overall loss is 1.4777554273605347
iter is 1930, overall loss is 1.4440785646438599
iter is 1940, overall loss is 1.4705917835235596
iter is 1950, overall loss is 1.6961288452148438
iter is 1960, overall loss is 2.0028467178344727
iter is 1970, overall loss is 1.4340335130691528
iter is 1980, overall loss is 1.6089818477630615
iter is 1990, overall loss is 1.6308493614196777
iter is 2000, overall loss is 1.298813819885254
---------starting evaluation-----------
Racall rate is 0.7338944842891929, Precision rate is 0.7502584437712095, OA is 0.8796333618164063, F1 score is 0.7419862512344488, IoU is 0.5898077441224598, Kappa coefficient is 0.6635066063805668
iter is 2010, overall loss is 1.5288505554199219
iter is 2020, overall loss is 1.142303466796875
iter is 2030, overall loss is 1.455843448638916
iter is 2040, overall loss is 2.025256395339966
iter is 2050, overall loss is 1.0035942792892456
iter is 2060, overall loss is 1.643209457397461
iter is 2070, overall loss is 1.6446425914764404
iter is 2080, overall loss is 2.04557466506958
iter is 2090, overall loss is 1.2809280157089233
iter is 2100, overall loss is 1.5253256559371948
iter is 2110, overall loss is 1.4704654216766357
iter is 2120, overall loss is 1.348412036895752
iter is 2130, overall loss is 1.36654531955719
iter is 2140, overall loss is 1.2954463958740234
