/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
False
iter is 1120, change detection loss is nan, classification loss is nan
iter is 1130, change detection loss is nan, classification loss is nan
iter is 1140, change detection loss is nan, classification loss is nan
iter is 1150, change detection loss is nan, classification loss is nan
iter is 1160, change detection loss is nan, classification loss is nan
iter is 1170, change detection loss is nan, classification loss is nan
iter is 1180, change detection loss is nan, classification loss is nan
iter is 1190, change detection loss is nan, classification loss is nan
iter is 1200, change detection loss is nan, classification loss is nan
iter is 1210, change detection loss is nan, classification loss is nan
iter is 1220, change detection loss is nan, classification loss is nan
iter is 1230, change detection loss is nan, classification loss is nan
iter is 1240, change detection loss is nan, classification loss is nan
iter is 1250, change detection loss is nan, classification loss is nan
iter is 1260, change detection loss is nan, classification loss is nan
iter is 1270, change detection loss is nan, classification loss is nan
iter is 1280, change detection loss is nan, classification loss is nan
iter is 1290, change detection loss is nan, classification loss is nan
iter is 1300, change detection loss is nan, classification loss is nan
iter is 1310, change detection loss is nan, classification loss is nan
iter is 1320, change detection loss is nan, classification loss is nan
iter is 1330, change detection loss is nan, classification loss is nan
iter is 1340, change detection loss is nan, classification loss is nan
iter is 1350, change detection loss is nan, classification loss is nan
iter is 1360, change detection loss is nan, classification loss is nan
iter is 1370, change detection loss is nan, classification loss is nan
iter is 1380, change detection loss is nan, classification loss is nan
iter is 1390, change detection loss is nan, classification loss is nan
iter is 1400, change detection loss is nan, classification loss is nan
iter is 1410, change detection loss is nan, classification loss is nan
iter is 1420, change detection loss is nan, classification loss is nan
iter is 1430, change detection loss is nan, classification loss is nan
iter is 1440, change detection loss is nan, classification loss is nan
iter is 1450, change detection loss is nan, classification loss is nan
iter is 1460, change detection loss is nan, classification loss is nan
iter is 1470, change detection loss is nan, classification loss is nan
iter is 1480, change detection loss is nan, classification loss is nan
iter is 1490, change detection loss is nan, classification loss is nan
iter is 1500, change detection loss is nan, classification loss is nan
---------starting evaluation-----------
Kappa coefficient rate is 0.0, F1 is nan, OA is 0.7993266748565708, mIoU is 0.39966333742828547, SeK is 0.0
iter is 1510, change detection loss is nan, classification loss is nan
iter is 1520, change detection loss is nan, classification loss is nan
iter is 1530, change detection loss is nan, classification loss is nan
iter is 1540, change detection loss is nan, classification loss is nan
iter is 1550, change detection loss is nan, classification loss is nan
iter is 1560, change detection loss is nan, classification loss is nan
iter is 1570, change detection loss is nan, classification loss is nan
iter is 1580, change detection loss is nan, classification loss is nan
iter is 1590, change detection loss is nan, classification loss is nan
iter is 1600, change detection loss is nan, classification loss is nan
iter is 1610, change detection loss is nan, classification loss is nan
iter is 1620, change detection loss is nan, classification loss is nan
iter is 1630, change detection loss is nan, classification loss is nan
iter is 1640, change detection loss is nan, classification loss is nan
iter is 1650, change detection loss is nan, classification loss is nan
iter is 1660, change detection loss is nan, classification loss is nan
iter is 1670, change detection loss is nan, classification loss is nan
iter is 1680, change detection loss is nan, classification loss is nan
iter is 1690, change detection loss is nan, classification loss is nan
iter is 1700, change detection loss is nan, classification loss is nan
iter is 1710, change detection loss is nan, classification loss is nan
iter is 1720, change detection loss is nan, classification loss is nan
iter is 1730, change detection loss is nan, classification loss is nan
iter is 1740, change detection loss is nan, classification loss is nan
iter is 1750, change detection loss is nan, classification loss is nan
iter is 1760, change detection loss is nan, classification loss is nan
iter is 1770, change detection loss is nan, classification loss is nan
iter is 1780, change detection loss is nan, classification loss is nan
iter is 1790, change detection loss is nan, classification loss is nan
iter is 1800, change detection loss is nan, classification loss is nan
iter is 1810, change detection loss is nan, classification loss is nan
iter is 1820, change detection loss is nan, classification loss is nan
iter is 1830, change detection loss is nan, classification loss is nan
iter is 1840, change detection loss is nan, classification loss is nan
iter is 1850, change detection loss is nan, classification loss is nan
iter is 1860, change detection loss is nan, classification loss is nan
iter is 1870, change detection loss is nan, classification loss is nan
iter is 1880, change detection loss is nan, classification loss is nan
iter is 1890, change detection loss is nan, classification loss is nan
iter is 1900, change detection loss is nan, classification loss is nan
iter is 1910, change detection loss is nan, classification loss is nan
iter is 1920, change detection loss is nan, classification loss is nan
iter is 1930, change detection loss is nan, classification loss is nan
iter is 1940, change detection loss is nan, classification loss is nan
iter is 1950, change detection loss is nan, classification loss is nan
iter is 1960, change detection loss is nan, classification loss is nan
iter is 1970, change detection loss is nan, classification loss is nan
iter is 1980, change detection loss is nan, classification loss is nan
iter is 1990, change detection loss is nan, classification loss is nan
iter is 2000, change detection loss is nan, classification loss is nan
---------starting evaluation-----------
Kappa coefficient rate is 0.0, F1 is nan, OA is 0.7993266748565708, mIoU is 0.39966333742828547, SeK is 0.0
iter is 2010, change detection loss is nan, classification loss is nan
iter is 2020, change detection loss is nan, classification loss is nan
iter is 2030, change detection loss is nan, classification loss is nan
iter is 2040, change detection loss is nan, classification loss is nan
iter is 2050, change detection loss is nan, classification loss is nan
iter is 2060, change detection loss is nan, classification loss is nan
iter is 2070, change detection loss is nan, classification loss is nan
iter is 2080, change detection loss is nan, classification loss is nan
iter is 2090, change detection loss is nan, classification loss is nan
iter is 2100, change detection loss is nan, classification loss is nan
iter is 2110, change detection loss is nan, classification loss is nan
iter is 2120, change detection loss is nan, classification loss is nan
iter is 2130, change detection loss is nan, classification loss is nan
iter is 2140, change detection loss is nan, classification loss is nan
iter is 2150, change detection loss is nan, classification loss is nan
iter is 2160, change detection loss is nan, classification loss is nan
iter is 2170, change detection loss is nan, classification loss is nan
iter is 2180, change detection loss is nan, classification loss is nan
iter is 2190, change detection loss is nan, classification loss is nan
iter is 2200, change detection loss is nan, classification loss is nan
iter is 2210, change detection loss is nan, classification loss is nan
iter is 2220, change detection loss is nan, classification loss is nan
iter is 2230, change detection loss is nan, classification loss is nan
iter is 2240, change detection loss is nan, classification loss is nan
iter is 2250, change detection loss is nan, classification loss is nan
iter is 2260, change detection loss is nan, classification loss is nan
iter is 2270, change detection loss is nan, classification loss is nan
iter is 2280, change detection loss is nan, classification loss is nan
iter is 2290, change detection loss is nan, classification loss is nan
iter is 2300, change detection loss is nan, classification loss is nan
iter is 2310, change detection loss is nan, classification loss is nan
iter is 2320, change detection loss is nan, classification loss is nan
iter is 2330, change detection loss is nan, classification loss is nan
iter is 2340, change detection loss is nan, classification loss is nan
iter is 2350, change detection loss is nan, classification loss is nan
iter is 2360, change detection loss is nan, classification loss is nan
iter is 2370, change detection loss is nan, classification loss is nan
iter is 2380, change detection loss is nan, classification loss is nan
iter is 2390, change detection loss is nan, classification loss is nan
iter is 2400, change detection loss is nan, classification loss is nan
iter is 2410, change detection loss is nan, classification loss is nan
iter is 2420, change detection loss is nan, classification loss is nan
iter is 2430, change detection loss is nan, classification loss is nan
iter is 2440, change detection loss is nan, classification loss is nan
iter is 2450, change detection loss is nan, classification loss is nan
iter is 2460, change detection loss is nan, classification loss is nan
iter is 2470, change detection loss is nan, classification loss is nan
iter is 2480, change detection loss is nan, classification loss is nan
iter is 2490, change detection loss is nan, classification loss is nan
iter is 2500, change detection loss is nan, classification loss is nan
---------starting evaluation-----------
Kappa coefficient rate is 0.0, F1 is nan, OA is 0.7993266748565708, mIoU is 0.39966333742828547, SeK is 0.0
iter is 2510, change detection loss is nan, classification loss is nan
iter is 2520, change detection loss is nan, classification loss is nan
iter is 2530, change detection loss is nan, classification loss is nan
iter is 2540, change detection loss is nan, classification loss is nan
iter is 2550, change detection loss is nan, classification loss is nan
iter is 2560, change detection loss is nan, classification loss is nan
iter is 2570, change detection loss is nan, classification loss is nan
iter is 2580, change detection loss is nan, classification loss is nan
iter is 2590, change detection loss is nan, classification loss is nan
iter is 2600, change detection loss is nan, classification loss is nan
iter is 2610, change detection loss is nan, classification loss is nan
iter is 2620, change detection loss is nan, classification loss is nan
iter is 2630, change detection loss is nan, classification loss is nan
iter is 2640, change detection loss is nan, classification loss is nan
iter is 2650, change detection loss is nan, classification loss is nan
iter is 2660, change detection loss is nan, classification loss is nan
iter is 2670, change detection loss is nan, classification loss is nan
iter is 2680, change detection loss is nan, classification loss is nan
iter is 2690, change detection loss is nan, classification loss is nan
iter is 2700, change detection loss is nan, classification loss is nan
iter is 2710, change detection loss is nan, classification loss is nan
iter is 2720, change detection loss is nan, classification loss is nan
iter is 2730, change detection loss is nan, classification loss is nan
iter is 2740, change detection loss is nan, classification loss is nan
iter is 2750, change detection loss is nan, classification loss is nan
iter is 2760, change detection loss is nan, classification loss is nan
iter is 2770, change detection loss is nan, classification loss is nan
iter is 2780, change detection loss is nan, classification loss is nan
iter is 2790, change detection loss is nan, classification loss is nan
iter is 2800, change detection loss is nan, classification loss is nan
iter is 2810, change detection loss is nan, classification loss is nan
iter is 2820, change detection loss is nan, classification loss is nan
iter is 2830, change detection loss is nan, classification loss is nan
iter is 2840, change detection loss is nan, classification loss is nan
iter is 2850, change detection loss is nan, classification loss is nan
iter is 2860, change detection loss is nan, classification loss is nan
iter is 2870, change detection loss is nan, classification loss is nan
iter is 2880, change detection loss is nan, classification loss is nan
iter is 2890, change detection loss is nan, classification loss is nan
iter is 2900, change detection loss is nan, classification loss is nan
iter is 2910, change detection loss is nan, classification loss is nan
iter is 2920, change detection loss is nan, classification loss is nan
iter is 2930, change detection loss is nan, classification loss is nan
iter is 2940, change detection loss is nan, classification loss is nan
iter is 2950, change detection loss is nan, classification loss is nan
iter is 2960, change detection loss is nan, classification loss is nan
iter is 2970, change detection loss is nan, classification loss is nan
iter is 2980, change detection loss is nan, classification loss is nan
iter is 2990, change detection loss is nan, classification loss is nan
iter is 3000, change detection loss is nan, classification loss is nan
---------starting evaluation-----------
Kappa coefficient rate is 0.0, F1 is nan, OA is 0.7993266748565708, mIoU is 0.39966333742828547, SeK is 0.0
iter is 3010, change detection loss is nan, classification loss is nan
iter is 3020, change detection loss is nan, classification loss is nan
iter is 3030, change detection loss is nan, classification loss is nan
iter is 3040, change detection loss is nan, classification loss is nan
iter is 3050, change detection loss is nan, classification loss is nan
iter is 3060, change detection loss is nan, classification loss is nan
iter is 3070, change detection loss is nan, classification loss is nan
iter is 3080, change detection loss is nan, classification loss is nan
iter is 3090, change detection loss is nan, classification loss is nan
iter is 3100, change detection loss is nan, classification loss is nan
iter is 3110, change detection loss is nan, classification loss is nan
iter is 3120, change detection loss is nan, classification loss is nan
iter is 3130, change detection loss is nan, classification loss is nan
iter is 3140, change detection loss is nan, classification loss is nan
iter is 3150, change detection loss is nan, classification loss is nan
iter is 3160, change detection loss is nan, classification loss is nan
iter is 3170, change detection loss is nan, classification loss is nan
iter is 3180, change detection loss is nan, classification loss is nan
iter is 3190, change detection loss is nan, classification loss is nan
iter is 3200, change detection loss is nan, classification loss is nan
iter is 3210, change detection loss is nan, classification loss is nan
iter is 3220, change detection loss is nan, classification loss is nan
iter is 3230, change detection loss is nan, classification loss is nan
iter is 3240, change detection loss is nan, classification loss is nan
iter is 3250, change detection loss is nan, classification loss is nan
iter is 3260, change detection loss is nan, classification loss is nan
iter is 3270, change detection loss is nan, classification loss is nan
iter is 3280, change detection loss is nan, classification loss is nan
iter is 3290, change detection loss is nan, classification loss is nan
iter is 3300, change detection loss is nan, classification loss is nan
iter is 3310, change detection loss is nan, classification loss is nan
iter is 3320, change detection loss is nan, classification loss is nan
iter is 3330, change detection loss is nan, classification loss is nan
iter is 3340, change detection loss is nan, classification loss is nan
iter is 3350, change detection loss is nan, classification loss is nan
iter is 3360, change detection loss is nan, classification loss is nan
iter is 3370, change detection loss is nan, classification loss is nan
iter is 3380, change detection loss is nan, classification loss is nan
iter is 3390, change detection loss is nan, classification loss is nan
iter is 3400, change detection loss is nan, classification loss is nan
iter is 3410, change detection loss is nan, classification loss is nan
iter is 3420, change detection loss is nan, classification loss is nan
iter is 3430, change detection loss is nan, classification loss is nan
iter is 3440, change detection loss is nan, classification loss is nan
iter is 3450, change detection loss is nan, classification loss is nan
iter is 3460, change detection loss is nan, classification loss is nan
iter is 3470, change detection loss is nan, classification loss is nan
iter is 3480, change detection loss is nan, classification loss is nan
iter is 3490, change detection loss is nan, classification loss is nan
iter is 3500, change detection loss is nan, classification loss is nan
---------starting evaluation-----------
Kappa coefficient rate is 0.0, F1 is nan, OA is 0.7993266748565708, mIoU is 0.39966333742828547, SeK is 0.0
iter is 3510, change detection loss is nan, classification loss is nan
iter is 3520, change detection loss is nan, classification loss is nan
iter is 3530, change detection loss is nan, classification loss is nan
iter is 3540, change detection loss is nan, classification loss is nan
iter is 3550, change detection loss is nan, classification loss is nan
iter is 3560, change detection loss is nan, classification loss is nan
iter is 3570, change detection loss is nan, classification loss is nan
iter is 3580, change detection loss is nan, classification loss is nan
iter is 3590, change detection loss is nan, classification loss is nan
iter is 3600, change detection loss is nan, classification loss is nan
iter is 3610, change detection loss is nan, classification loss is nan
iter is 3620, change detection loss is nan, classification loss is nan
iter is 3630, change detection loss is nan, classification loss is nan
iter is 3640, change detection loss is nan, classification loss is nan
iter is 3650, change detection loss is nan, classification loss is nan
iter is 3660, change detection loss is nan, classification loss is nan
iter is 3670, change detection loss is nan, classification loss is nan
iter is 3680, change detection loss is nan, classification loss is nan
iter is 3690, change detection loss is nan, classification loss is nan
iter is 3700, change detection loss is nan, classification loss is nan
iter is 3710, change detection loss is nan, classification loss is nan
iter is 3720, change detection loss is nan, classification loss is nan
iter is 3730, change detection loss is nan, classification loss is nan
iter is 3740, change detection loss is nan, classification loss is nan
iter is 3750, change detection loss is nan, classification loss is nan
iter is 3760, change detection loss is nan, classification loss is nan
iter is 3770, change detection loss is nan, classification loss is nan
iter is 3780, change detection loss is nan, classification loss is nan
iter is 3790, change detection loss is nan, classification loss is nan
iter is 3800, change detection loss is nan, classification loss is nan
iter is 3810, change detection loss is nan, classification loss is nan
iter is 3820, change detection loss is nan, classification loss is nan
iter is 3830, change detection loss is nan, classification loss is nan
iter is 3840, change detection loss is nan, classification loss is nan
iter is 3850, change detection loss is nan, classification loss is nan
iter is 3860, change detection loss is nan, classification loss is nan
