/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
iter is 1380, overall loss is 1.1320745944976807
iter is 1390, overall loss is 0.7197555303573608
iter is 1400, overall loss is 0.8690688014030457
iter is 1410, overall loss is 1.0386953353881836
iter is 1420, overall loss is 0.5488992929458618
iter is 1430, overall loss is 0.5500922203063965
iter is 1440, overall loss is 1.0184866189956665
iter is 1450, overall loss is 0.7654801607131958
iter is 1460, overall loss is 1.0442578792572021
iter is 1470, overall loss is 0.6625182032585144
iter is 1480, overall loss is 0.6325406432151794
iter is 1490, overall loss is 0.7299885749816895
iter is 1500, overall loss is 0.6851861476898193
---------starting evaluation-----------
Racall rate is 0.7101201847264738, Precision rate is 0.6991353948246316, OA is 0.8595710754394531, F1 score is 0.7045849779496006, IoU is 0.5439067526284931, Kappa coefficient is 0.612485945105069
iter is 1510, overall loss is 0.785700798034668
iter is 1520, overall loss is 0.5629029273986816
iter is 1530, overall loss is 0.5686876773834229
iter is 1540, overall loss is 0.5991503000259399
iter is 1550, overall loss is 0.5399940013885498
iter is 1560, overall loss is 0.6525897979736328
iter is 1570, overall loss is 0.7325268983840942
iter is 1580, overall loss is 0.8515464067459106
iter is 1590, overall loss is 0.6215776205062866
iter is 1600, overall loss is 0.770977258682251
iter is 1610, overall loss is 1.047297716140747
iter is 1620, overall loss is 0.5971910953521729
iter is 1630, overall loss is 0.7459880113601685
iter is 1640, overall loss is 0.8001898527145386
iter is 1650, overall loss is 0.610986053943634
iter is 1660, overall loss is 0.7869220972061157
iter is 1670, overall loss is 0.5068761706352234
iter is 1680, overall loss is 0.6862058639526367
iter is 1690, overall loss is 1.3697223663330078
iter is 1700, overall loss is 0.5798793435096741
iter is 1710, overall loss is 0.8281984329223633
iter is 1720, overall loss is 0.5846347212791443
iter is 1730, overall loss is 0.7277677059173584
iter is 1740, overall loss is 0.5139002799987793
iter is 1750, overall loss is 0.7277932167053223
iter is 1760, overall loss is 0.6175777912139893
iter is 1770, overall loss is 0.6085931658744812
