/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
iter is 1380, overall loss is 0.3603150546550751
iter is 1390, overall loss is 0.34152448177337646
iter is 1400, overall loss is 0.34688979387283325
iter is 1410, overall loss is 0.36884671449661255
iter is 1420, overall loss is 0.3618215322494507
iter is 1430, overall loss is 0.37856918573379517
iter is 1440, overall loss is 0.3734695017337799
iter is 1450, overall loss is 0.31691867113113403
iter is 1460, overall loss is 0.5086677074432373
iter is 1470, overall loss is 0.3702854812145233
iter is 1480, overall loss is 0.4904565215110779
iter is 1490, overall loss is 0.4437495470046997
iter is 1500, overall loss is 0.3327207565307617
---------starting evaluation-----------
Racall rate is 0.7930725933422891, Precision rate is 0.8269438201596058, OA is 0.981003925204277, F1 score is 0.809654117744025, IoU is 0.6801839110910746, Kappa coefficient is 0.7996618476870745
iter is 1510, overall loss is 0.3587651252746582
iter is 1520, overall loss is 0.41381585597991943
iter is 1530, overall loss is 0.3349440395832062
iter is 1540, overall loss is 0.3585039973258972
iter is 1550, overall loss is 0.3337554633617401
iter is 1560, overall loss is 0.35021477937698364
iter is 1570, overall loss is 0.4058140516281128
iter is 1580, overall loss is 0.4087390601634979
iter is 1590, overall loss is 0.3724972903728485
iter is 1600, overall loss is 0.3144289553165436
iter is 1610, overall loss is 0.32278570532798767
iter is 1620, overall loss is 0.36927956342697144
iter is 1630, overall loss is 0.39641574025154114
iter is 1640, overall loss is 0.3096460700035095
iter is 1650, overall loss is 0.4323165714740753
iter is 1660, overall loss is 0.35076427459716797
iter is 1670, overall loss is 0.3230813145637512
iter is 1680, overall loss is 0.3342757821083069
iter is 1690, overall loss is 0.2832460403442383
iter is 1700, overall loss is 0.30421167612075806
iter is 1710, overall loss is 0.32884925603866577
iter is 1720, overall loss is 0.35063159465789795
iter is 1730, overall loss is 0.3319490849971771
iter is 1740, overall loss is 0.3213259279727936
iter is 1750, overall loss is 0.3619322180747986
iter is 1760, overall loss is 0.2935895323753357
iter is 1770, overall loss is 0.36336764693260193
iter is 1780, overall loss is 0.3500904440879822
iter is 1790, overall loss is 0.31488656997680664
iter is 1800, overall loss is 0.32791128754615784
iter is 1810, overall loss is 0.3128198981285095
iter is 1820, overall loss is 0.3498523533344269
iter is 1830, overall loss is 0.3524206578731537
iter is 1840, overall loss is 0.3051474094390869
iter is 1850, overall loss is 0.37461206316947937
iter is 1860, overall loss is 0.2970389425754547
iter is 1870, overall loss is 0.3278764486312866
iter is 1880, overall loss is 0.3716571033000946
iter is 1890, overall loss is 0.29557695984840393
iter is 1900, overall loss is 0.3836786448955536
iter is 1910, overall loss is 0.32708489894866943
iter is 1920, overall loss is 0.29302486777305603
iter is 1930, overall loss is 0.3785199820995331
iter is 1940, overall loss is 0.3062196373939514
iter is 1950, overall loss is 0.3275313973426819
iter is 1960, overall loss is 0.3225734829902649
iter is 1970, overall loss is 0.34381869435310364
iter is 1980, overall loss is 0.45290476083755493
iter is 1990, overall loss is 0.31001782417297363
iter is 2000, overall loss is 0.2784087657928467
---------starting evaluation-----------
Racall rate is 0.8745322556229876, Precision rate is 0.7900958650935759, OA is 0.98177270591259, F1 score is 0.8301725898529756, IoU is 0.7096539050565067, Kappa coefficient is 0.8205683119040305
iter is 2010, overall loss is 0.2932646870613098
iter is 2020, overall loss is 0.3535788059234619
iter is 2030, overall loss is 0.4034419059753418
iter is 2040, overall loss is 0.251182496547699
iter is 2050, overall loss is 0.33694061636924744
iter is 2060, overall loss is 0.3449782431125641
iter is 2070, overall loss is 0.29568567872047424
iter is 2080, overall loss is 0.3256075382232666
iter is 2090, overall loss is 0.3577640652656555
iter is 2100, overall loss is 0.3229946196079254
iter is 2110, overall loss is 0.267459511756897
iter is 2120, overall loss is 0.3639075756072998
iter is 2130, overall loss is 0.2849120795726776
iter is 2140, overall loss is 0.28996145725250244
iter is 2150, overall loss is 0.31493115425109863
iter is 2160, overall loss is 0.31896933913230896
iter is 2170, overall loss is 0.3748130202293396
iter is 2180, overall loss is 0.3921177387237549
iter is 2190, overall loss is 0.32431337237358093
iter is 2200, overall loss is 0.34703004360198975
iter is 2210, overall loss is 0.2875792384147644
iter is 2220, overall loss is 0.28537866473197937
iter is 2230, overall loss is 0.3275068700313568
iter is 2240, overall loss is 0.2984529733657837
iter is 2250, overall loss is 0.348808228969574
iter is 2260, overall loss is 0.31603527069091797
iter is 2270, overall loss is 0.329978346824646
iter is 2280, overall loss is 0.3285762369632721
iter is 2290, overall loss is 0.33441099524497986
iter is 2300, overall loss is 0.32716742157936096
iter is 2310, overall loss is 0.3273545503616333
iter is 2320, overall loss is 0.3314940929412842
iter is 2330, overall loss is 0.3622704744338989
iter is 2340, overall loss is 0.3156808614730835
iter is 2350, overall loss is 0.30649450421333313
iter is 2360, overall loss is 0.2987325191497803
iter is 2370, overall loss is 0.28695499897003174
iter is 2380, overall loss is 0.28363654017448425
iter is 2390, overall loss is 0.31892138719558716
iter is 2400, overall loss is 0.31509026885032654
iter is 2410, overall loss is 0.32229986786842346
iter is 2420, overall loss is 0.3256162106990814
iter is 2430, overall loss is 0.3939458131790161
iter is 2440, overall loss is 0.3090130388736725
iter is 2450, overall loss is 0.35268843173980713
iter is 2460, overall loss is 0.4192242920398712
iter is 2470, overall loss is 0.3514994978904724
iter is 2480, overall loss is 0.374957799911499
iter is 2490, overall loss is 0.34018853306770325
iter is 2500, overall loss is 0.27327847480773926
---------starting evaluation-----------
Racall rate is 0.8543393003268086, Precision rate is 0.8449869383977546, OA is 0.9845956414937973, F1 score is 0.8496373836701999, IoU is 0.7385822275596408, Kappa coefficient is 0.8415196260408165
iter is 2510, overall loss is 0.398753821849823
iter is 2520, overall loss is 0.31452852487564087
iter is 2530, overall loss is 0.31127896904945374
iter is 2540, overall loss is 0.3903699815273285
iter is 2550, overall loss is 0.29009342193603516
iter is 2560, overall loss is 0.31710731983184814
iter is 2570, overall loss is 0.40692538022994995
iter is 2580, overall loss is 0.3207473158836365
iter is 2590, overall loss is 0.30500125885009766
iter is 2600, overall loss is 0.3212488293647766
iter is 2610, overall loss is 0.2886000871658325
iter is 2620, overall loss is 0.27443164587020874
iter is 2630, overall loss is 0.3273882269859314
iter is 2640, overall loss is 0.30014166235923767
iter is 2650, overall loss is 0.326686829328537
iter is 2660, overall loss is 0.3364953398704529
iter is 2670, overall loss is 0.3091548681259155
iter is 2680, overall loss is 0.28262877464294434
iter is 2690, overall loss is 0.3245094418525696
iter is 2700, overall loss is 0.27457520365715027
iter is 2710, overall loss is 0.28696081042289734
iter is 2720, overall loss is 0.3055424094200134
iter is 2730, overall loss is 0.30601292848587036
iter is 2740, overall loss is 0.28532499074935913
iter is 2750, overall loss is 0.373291939496994
iter is 2760, overall loss is 0.3556968569755554
iter is 2770, overall loss is 0.38359785079956055
iter is 2780, overall loss is 0.317205011844635
iter is 2790, overall loss is 0.38629433512687683
iter is 2800, overall loss is 0.25681808590888977
iter is 2810, overall loss is 0.27104949951171875
iter is 2820, overall loss is 0.279386430978775
iter is 2830, overall loss is 0.30121108889579773
iter is 2840, overall loss is 0.3046325445175171
iter is 2850, overall loss is 0.3337993919849396
iter is 2860, overall loss is 0.3272301256656647
iter is 2870, overall loss is 0.30186229944229126
iter is 2880, overall loss is 0.2852744460105896
iter is 2890, overall loss is 0.3244548439979553
iter is 2900, overall loss is 0.29813334345817566
iter is 2910, overall loss is 0.3051038980484009
iter is 2920, overall loss is 0.3427867889404297
iter is 2930, overall loss is 0.31015583872795105
iter is 2940, overall loss is 0.28411054611206055
iter is 2950, overall loss is 0.2764590382575989
iter is 2960, overall loss is 0.31564411520957947
iter is 2970, overall loss is 0.3377874493598938
iter is 2980, overall loss is 0.25959551334381104
iter is 2990, overall loss is 0.27473780512809753
iter is 3000, overall loss is 0.28476500511169434
---------starting evaluation-----------
Racall rate is 0.7881815063910135, Precision rate is 0.8838834074377562, OA is 0.983934760093689, F1 score is 0.8332936715394235, IoU is 0.7142274377125578, Kappa coefficient is 0.824883453357969
iter is 3010, overall loss is 0.33119475841522217
iter is 3020, overall loss is 0.451027512550354
iter is 3030, overall loss is 0.3145785331726074
iter is 3040, overall loss is 0.28938502073287964
iter is 3050, overall loss is 0.3108668923377991
iter is 3060, overall loss is 0.32073140144348145
iter is 3070, overall loss is 0.28949832916259766
iter is 3080, overall loss is 0.29382190108299255
iter is 3090, overall loss is 0.35536327958106995
iter is 3100, overall loss is 0.3006165325641632
iter is 3110, overall loss is 0.30903878808021545
iter is 3120, overall loss is 0.30741992592811584
iter is 3130, overall loss is 0.2765415906906128
iter is 3140, overall loss is 0.26855236291885376
iter is 3150, overall loss is 0.3264212906360626
iter is 3160, overall loss is 0.3246991038322449
iter is 3170, overall loss is 0.28565457463264465
iter is 3180, overall loss is 0.2818301320075989
iter is 3190, overall loss is 0.3136160373687744
iter is 3200, overall loss is 0.3070754408836365
iter is 3210, overall loss is 0.38228029012680054
iter is 3220, overall loss is 0.299640417098999
iter is 3230, overall loss is 0.2955133020877838
iter is 3240, overall loss is 0.34051892161369324
iter is 3250, overall loss is 0.3158198595046997
iter is 3260, overall loss is 0.33014315366744995
iter is 3270, overall loss is 0.32612481713294983
iter is 3280, overall loss is 0.345087468624115
iter is 3290, overall loss is 0.3925408720970154
iter is 3300, overall loss is 0.2957311272621155
iter is 3310, overall loss is 0.2946668863296509
iter is 3320, overall loss is 0.35636913776397705
iter is 3330, overall loss is 0.30541375279426575
iter is 3340, overall loss is 0.29164618253707886
iter is 3350, overall loss is 0.2655024528503418
iter is 3360, overall loss is 0.3007465600967407
iter is 3370, overall loss is 0.29203957319259644
iter is 3380, overall loss is 0.2699710428714752
iter is 3390, overall loss is 0.33106422424316406
iter is 3400, overall loss is 0.3496100902557373
iter is 3410, overall loss is 0.3046247959136963
iter is 3420, overall loss is 0.3220055103302002
iter is 3430, overall loss is 0.4851994216442108
iter is 3440, overall loss is 0.290824830532074
iter is 3450, overall loss is 0.2186373770236969
iter is 3460, overall loss is 0.3454018235206604
iter is 3470, overall loss is 0.3080965280532837
iter is 3480, overall loss is 0.33393025398254395
iter is 3490, overall loss is 0.2790158987045288
iter is 3500, overall loss is 0.32374030351638794
---------starting evaluation-----------
Racall rate is 0.8478809360664645, Precision rate is 0.8450470710748158, OA is 0.9843306317925453, F1 score is 0.8464616317064035, IoU is 0.7337958189969486, Kappa coefficient is 0.8382056904230596
iter is 3510, overall loss is 0.30452805757522583
iter is 3520, overall loss is 0.3058633506298065
iter is 3530, overall loss is 0.28598684072494507
iter is 3540, overall loss is 0.26614367961883545
iter is 3550, overall loss is 0.29032814502716064
iter is 3560, overall loss is 0.29545778036117554
iter is 3570, overall loss is 0.2543366253376007
iter is 3580, overall loss is 0.300701379776001
iter is 3590, overall loss is 0.28893524408340454
iter is 3600, overall loss is 0.33309340476989746
iter is 3610, overall loss is 0.3253283202648163
iter is 3620, overall loss is 0.30517199635505676
iter is 3630, overall loss is 0.2809801399707794
iter is 3640, overall loss is 0.37749844789505005
iter is 3650, overall loss is 0.29334425926208496
iter is 3660, overall loss is 0.2736530900001526
iter is 3670, overall loss is 0.3003641963005066
iter is 3680, overall loss is 0.2778457999229431
iter is 3690, overall loss is 0.35360637307167053
iter is 3700, overall loss is 0.3775167465209961
iter is 3710, overall loss is 0.2826245427131653
iter is 3720, overall loss is 0.2582700252532959
iter is 3730, overall loss is 0.3457803428173065
iter is 3740, overall loss is 0.2781561017036438
iter is 3750, overall loss is 0.3347473740577698
