/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
iter is 1400, overall loss is 1.9320735931396484
iter is 1410, overall loss is 2.0051918029785156
iter is 1420, overall loss is 2.055499792098999
iter is 1430, overall loss is 1.7919455766677856
iter is 1440, overall loss is 1.9249787330627441
iter is 1450, overall loss is 1.8646414279937744
iter is 1460, overall loss is 2.270629644393921
iter is 1470, overall loss is 2.3088724613189697
iter is 1480, overall loss is 2.665464401245117
iter is 1490, overall loss is 1.9010987281799316
iter is 1500, overall loss is 2.0953986644744873
---------starting evaluation-----------
Recall rate is 0.7367581914063164, Precision rate is 0.7137687812220492, OA is 0.8682447128295898, F1 score is 0.7250813066682356, IoU is 0.5687274886317415, Kappa coefficient is 0.6384714604732
iter is 1510, overall loss is 2.0216054916381836
iter is 1520, overall loss is 2.1740505695343018
iter is 1530, overall loss is 1.9767513275146484
iter is 1540, overall loss is 2.694988489151001
iter is 1550, overall loss is 2.058661699295044
iter is 1560, overall loss is 2.3420450687408447
iter is 1570, overall loss is 2.1449849605560303
iter is 1580, overall loss is 1.9398303031921387
iter is 1590, overall loss is 2.105313539505005
iter is 1600, overall loss is 2.251397132873535
iter is 1610, overall loss is 1.910642385482788
iter is 1620, overall loss is 1.4888259172439575
iter is 1630, overall loss is 2.007129669189453
iter is 1640, overall loss is 2.0379836559295654
iter is 1650, overall loss is 2.1205997467041016
iter is 1660, overall loss is 1.7486189603805542
iter is 1670, overall loss is 1.947277307510376
iter is 1680, overall loss is 2.0214695930480957
iter is 1690, overall loss is 2.102442502975464
iter is 1700, overall loss is 2.0695371627807617
iter is 1710, overall loss is 1.8282679319381714
iter is 1720, overall loss is 1.6909288167953491
iter is 1730, overall loss is 1.9465041160583496
iter is 1740, overall loss is 2.2779555320739746
iter is 1750, overall loss is 1.3818132877349854
iter is 1760, overall loss is 1.7834100723266602
iter is 1770, overall loss is 2.505941390991211
iter is 1780, overall loss is 2.084076166152954
iter is 1790, overall loss is 2.1531379222869873
iter is 1800, overall loss is 2.1031811237335205
iter is 1810, overall loss is 1.9943454265594482
iter is 1820, overall loss is 1.7431728839874268
iter is 1830, overall loss is 1.6878485679626465
iter is 1840, overall loss is 1.5199236869812012
iter is 1850, overall loss is 2.1354713439941406
iter is 1860, overall loss is 2.0393927097320557
iter is 1870, overall loss is 1.4996205568313599
iter is 1880, overall loss is 2.1857004165649414
iter is 1890, overall loss is 1.9965643882751465
iter is 1900, overall loss is 1.9419982433319092
iter is 1910, overall loss is 2.5501151084899902
iter is 1920, overall loss is 2.0055019855499268
iter is 1930, overall loss is 2.159337282180786
iter is 1940, overall loss is 1.5390956401824951
iter is 1950, overall loss is 1.7761406898498535
iter is 1960, overall loss is 2.082976818084717
iter is 1970, overall loss is 2.7825560569763184
iter is 1980, overall loss is 2.1340200901031494
iter is 1990, overall loss is 1.8545546531677246
iter is 2000, overall loss is 2.3686532974243164
---------starting evaluation-----------
Recall rate is 0.6873007076229555, Precision rate is 0.7857140796613225, OA is 0.8820517234802246, F1 score is 0.7332198530554562, IoU is 0.5788059236829471, Kappa coefficient is 0.657942504817197
iter is 2010, overall loss is 1.661720871925354
iter is 2020, overall loss is 1.9863251447677612
iter is 2030, overall loss is 2.3668580055236816
iter is 2040, overall loss is 1.4369432926177979
iter is 2050, overall loss is 2.5185437202453613
iter is 2060, overall loss is 1.8536778688430786
iter is 2070, overall loss is 1.7774924039840698
iter is 2080, overall loss is 2.608243465423584
iter is 2090, overall loss is 1.794206976890564
iter is 2100, overall loss is 1.813646674156189
iter is 2110, overall loss is 2.201439142227173
iter is 2120, overall loss is 2.207923412322998
iter is 2130, overall loss is 1.6698943376541138
iter is 2140, overall loss is 1.8449513912200928
iter is 2150, overall loss is 2.2912981510162354
iter is 2160, overall loss is 2.42228102684021
iter is 2170, overall loss is 1.836086392402649
iter is 2180, overall loss is 1.7899835109710693
iter is 2190, overall loss is 2.064241886138916
iter is 2200, overall loss is 2.0034232139587402
iter is 2210, overall loss is 2.314241647720337
iter is 2220, overall loss is 2.375244379043579
iter is 2230, overall loss is 2.091284990310669
iter is 2240, overall loss is 1.8874931335449219
iter is 2250, overall loss is 2.0851290225982666
iter is 2260, overall loss is 2.142754316329956
iter is 2270, overall loss is 2.15785813331604
iter is 2280, overall loss is 2.017122268676758
iter is 2290, overall loss is 1.8968720436096191
iter is 2300, overall loss is 2.1243090629577637
iter is 2310, overall loss is 1.9467169046401978
iter is 2320, overall loss is 1.5658947229385376
iter is 2330, overall loss is 2.7654359340667725
iter is 2340, overall loss is 1.9367960691452026
iter is 2350, overall loss is 2.582580804824829
iter is 2360, overall loss is 1.9656411409378052
iter is 2370, overall loss is 2.1239895820617676
iter is 2380, overall loss is 2.1293725967407227
iter is 2390, overall loss is 1.853314757347107
iter is 2400, overall loss is 1.6186063289642334
iter is 2410, overall loss is 1.466611623764038
iter is 2420, overall loss is 2.194861650466919
iter is 2430, overall loss is 2.293739080429077
iter is 2440, overall loss is 1.9380600452423096
iter is 2450, overall loss is 1.747549295425415
iter is 2460, overall loss is 3.013974189758301
iter is 2470, overall loss is 2.272156000137329
iter is 2480, overall loss is 1.6596040725708008
iter is 2490, overall loss is 1.9210879802703857
iter is 2500, overall loss is 1.9397133588790894
---------starting evaluation-----------
Recall rate is 0.7391923190010268, Precision rate is 0.7488584580392984, OA is 0.8800324783325195, F1 score is 0.7439939936761999, IoU is 0.5923490731177263, Kappa coefficient is 0.6656592272478923
iter is 2510, overall loss is 1.7505106925964355
iter is 2520, overall loss is 1.705362319946289
iter is 2530, overall loss is 2.0545907020568848
iter is 2540, overall loss is 1.9676945209503174
iter is 2550, overall loss is 2.326895236968994
iter is 2560, overall loss is 2.417010545730591
iter is 2570, overall loss is 1.6432983875274658
iter is 2580, overall loss is 2.1314499378204346
iter is 2590, overall loss is 1.709839940071106
iter is 2600, overall loss is 1.887403964996338
iter is 2610, overall loss is 1.87610924243927
iter is 2620, overall loss is 1.7628591060638428
iter is 2630, overall loss is 1.676138162612915
iter is 2640, overall loss is 2.238926649093628
iter is 2650, overall loss is 2.538975238800049
iter is 2660, overall loss is 1.6740353107452393
iter is 2670, overall loss is 1.870408058166504
iter is 2680, overall loss is 2.2705416679382324
iter is 2690, overall loss is 2.505105972290039
iter is 2700, overall loss is 1.9597409963607788
iter is 2710, overall loss is 2.0260868072509766
iter is 2720, overall loss is 1.6938881874084473
iter is 2730, overall loss is 1.7803518772125244
iter is 2740, overall loss is 1.2826241254806519
iter is 2750, overall loss is 1.5728074312210083
iter is 2760, overall loss is 1.5195239782333374
iter is 2770, overall loss is 2.320380449295044
iter is 2780, overall loss is 1.2987648248672485
iter is 2790, overall loss is 1.3940306901931763
iter is 2800, overall loss is 1.6314258575439453
iter is 2810, overall loss is 2.0062389373779297
