/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
iter is 1390, overall loss is 1.338168740272522
iter is 1400, overall loss is 1.499510407447815
iter is 1410, overall loss is 1.1635662317276
iter is 1420, overall loss is 1.1959680318832397
iter is 1430, overall loss is 1.257651686668396
iter is 1440, overall loss is 1.4103164672851562
iter is 1450, overall loss is 0.9913575053215027
iter is 1460, overall loss is 1.435720443725586
iter is 1470, overall loss is 1.348409652709961
iter is 1480, overall loss is 1.3312768936157227
iter is 1490, overall loss is 1.3076846599578857
iter is 1500, overall loss is 1.1623740196228027
---------starting evaluation-----------
Recall rate is 0.8336969009124169, Precision rate is 0.7653310157860309, OA is 0.9785057529807091, F1 score is 0.79805247847126, IoU is 0.6639661584028466, Kappa coefficient is 0.7867231868574204
iter is 1510, overall loss is 1.1798157691955566
iter is 1520, overall loss is 1.3889323472976685
iter is 1530, overall loss is 1.5093579292297363
iter is 1540, overall loss is 1.3832207918167114
iter is 1550, overall loss is 1.353994607925415
iter is 1560, overall loss is 1.6113524436950684
iter is 1570, overall loss is 1.4967108964920044
iter is 1580, overall loss is 1.2408286333084106
iter is 1590, overall loss is 1.6365795135498047
iter is 1600, overall loss is 1.3404332399368286
iter is 1610, overall loss is 1.4328504800796509
iter is 1620, overall loss is 1.2999104261398315
iter is 1630, overall loss is 1.5377953052520752
iter is 1640, overall loss is 1.1960079669952393
iter is 1650, overall loss is 1.6397122144699097
iter is 1660, overall loss is 1.2985492944717407
iter is 1670, overall loss is 1.3566510677337646
iter is 1680, overall loss is 1.2383110523223877
iter is 1690, overall loss is 1.5533127784729004
iter is 1700, overall loss is 1.189101219177246
iter is 1710, overall loss is 1.2311612367630005
iter is 1720, overall loss is 1.629008173942566
iter is 1730, overall loss is 1.3267064094543457
iter is 1740, overall loss is 1.148155689239502
iter is 1750, overall loss is 1.4198787212371826
iter is 1760, overall loss is 0.9551253914833069
iter is 1770, overall loss is 1.2977818250656128
iter is 1780, overall loss is 1.3732857704162598
iter is 1790, overall loss is 1.3127378225326538
iter is 1800, overall loss is 1.4846118688583374
iter is 1810, overall loss is 1.4158947467803955
iter is 1820, overall loss is 1.3533713817596436
iter is 1830, overall loss is 1.417504072189331
iter is 1840, overall loss is 1.3256676197052002
iter is 1850, overall loss is 1.2028714418411255
iter is 1860, overall loss is 1.4536643028259277
